DATE,Value,Quality,Momentum
1963-01-07,-0.0097,0.0068,0.0101
1963-01-08,0.018,0.0036,0.01
1963-01-09,0.0013,-0.0070999999999999,0.0012
1963-01-10,-0.001,0.0279999999999999,0.0313
1963-01-11,0.0175,-0.0051,-0.0078
1963-01-12,-0.0002,0.0003,0.0184
1964-01-01,0.0148,0.0017,0.0102
1964-01-02,0.0281,-0.0005,0.0033
1964-01-03,0.034,-0.0220999999999999,0.0069
1964-01-04,-0.0067,-0.0127,-0.0064
1964-01-05,0.0186,-0.0016,0.0253
1964-01-06,0.0062,-0.0028,0.0046999999999999
1964-01-07,0.0075,0.0008,-0.0038
1964-01-08,0.0008,0.0012,-0.0025
1964-01-09,0.017,-0.0056,-0.0039
1964-01-10,0.0116999999999999,-0.0043,0.0019
1964-01-11,-0.0196,0.0063,0.011
1964-01-12,-0.0248,0.0107,-0.0069
1965-01-01,0.0012,0.0091,-0.0138
1965-01-02,0.0011,0.0023,0.0024
1965-01-03,0.0103,-0.0032,0.0017
1965-01-04,0.0066,0.003,0.0253
1965-01-05,-0.0161,-0.0045,0.0055
1965-01-06,0.0059,0.0022,-0.0318
1965-01-07,0.022,-0.0137,0.0409
1965-01-08,-0.01,0.019,0.0258
1965-01-09,-0.0013,-0.0089,0.0329
1965-01-10,0.0156,0.0116999999999999,0.0345
1965-01-11,0.0015,-0.0101,0.044
1965-01-12,0.0203,-0.0113999999999999,-0.001
1966-01-01,0.0356,-0.0282,0.0528
1966-01-02,0.0033,-0.0017,0.0458
1966-01-03,-0.0197999999999999,0.013,0.0147
1966-01-04,-0.0046,0.0039,0.0588
1966-01-05,-0.0163,0.0163999999999999,-0.0471
1966-01-06,0.005,0.0015,0.0323
1966-01-07,0.0095,-0.0036,-0.013
1966-01-08,0.0043,-0.0009,-0.0220999999999999
1966-01-09,0.0056,-0.0168,-0.0186
1966-01-10,0.0269,-0.0348,-0.052
1966-01-11,-0.0469,0.0412999999999999,0.0573
1966-01-12,-0.0118999999999999,0.0069999999999999,0.0098999999999999
1967-01-01,0.0227,0.0096,-0.07
1967-01-02,-0.0222,0.0199,0.0351
1967-01-03,0.0037,0.0086,0.0139
1967-01-04,-0.0248,0.0233,0.0052
1967-01-05,0.0109,-0.0173,0.0066
1967-01-06,0.0085,-0.0062,0.0601
1967-01-07,0.0273,0.0048,-0.011
1967-01-08,0.0144,0.003,-0.0132
1967-01-09,-0.025,0.002,0.0239
1967-01-10,-0.033,0.0101,0.0368
1967-01-11,-0.017,0.0134,0.0121999999999999
1967-01-12,-0.0053,-0.0081,0.032
